SKU,Category,make,SUB Category Type 1,SUB Category Type 2,SUB Category Type 3,SUB Category Type 4,SUB Category Type 5,SUB Category Type 6,SUB Category Type 7,SUB Category Type 8,SUB Category Type 9,SUB Category Type 10,Item Name,CAPACITY,Unit,Supplier,List Price,Discount,DP
1.0,Controller,SAARK,1.0,,,,,,,,,,AI-PCU02 WITH HMI DISPLAY ,1.0,Nos,Saark Exploration Pvt Ltd,50000.0,50.0,25000
2.0,Controller,saark,2.0,,,,,,,,,,AI-PCU02 WITH HMI DISPLAY,2.0,Nos,Saark Exploration Pvt Ltd,39000.0,50.0,19500
3.0,Controller,,3.0,,,,,,,,,,AIPCU  HMI CONTROLLER MULTIVFD,3.0,Nos,Saark Exploration Pvt Ltd,80000.0,50.0,40000
4.0,Controller,,4.0,,,,,,,,,,AIPCU  HMI CONTROLLER MULTIVFD,4.0,Nos,Saark Exploration Pvt Ltd,60000.0,50.0,30000
5.0,Controller,,5.0,,,,,,,,,,DEFENDER ,5.0,Nos,Saark Exploration Pvt Ltd,70000.0,50.0,35000
6.0,Controller,,6.0,,,,,,,,,,HMI CONTROLLER STP,6.0,Nos,Saark Exploration Pvt Ltd,70000.0,50.0,35000
7.0,Controller,,7.0,,,,,,,,,,"HMI CONTROLLER DIESEL (GPS, PRDL, FT,ROUTER)",7.0,Nos,Saark Exploration Pvt Ltd,107000.0,50.0,53500
8.0,Controller,,8.0,,,,,,,,,,AI-PCU01,8.0,Nos,Saark Exploration Pvt Ltd,32000.0,50.0,16000
9.0,Controller,,9.0,,,,,,,,,,DLC02,9.0,Nos,Saark Exploration Pvt Ltd,11500.0,50.0,5750
10.0,Controller,,10.0,,,,,,,,,,DLC02 DEWATERING ,10.0,Nos,Saark Exploration Pvt Ltd,11500.0,65.0,4025
11.0,Controller,,11.0,,,,,,,,,,DLC02 DEWATERING (THERMAL AND MOISTURE) ,11.0,Nos,Saark Exploration Pvt Ltd,9500.0,0.0,9500
12.0,Controller,,12.0,,,,,,,,,,DLC PCB,12.0,Nos,Saark Exploration Pvt Ltd,11500.0,70.0,3450
13.0,Controller,,13.0,,,,,,,,,,DLC VFD,13.0,Nos,Saark Exploration Pvt Ltd,30000.0,50.0,15000
14.0,Controller,,14.0,,,,,,,,,,DLC VFD T SURESH ,14.0,Nos,Saark Exploration Pvt Ltd,9500.0,0.0,9500
15.0,POWER SUPPLY,,1.0,,,,,,,,,,AI-PCU POWER SUPPLY,1.0,Nos,Saark Exploration Pvt Ltd,900.0,35.0,585
16.0,POWER SUPPLY,,2.0,,,,,,,,,,DLC POWER SUPPLY ,2.0,Nos,Saark Exploration Pvt Ltd,900.0,45.0,495
17.0,Switch ,,1.0,,,,,,,,,,RELAY CARD FOR MANUAL PROTECTION,1.0,Nos,Saark Exploration Pvt Ltd,640.0,50.0,320
18.0,CT COIL,,30-02 HOLE,,,,,,,,,,30amp CT With Wire (2 HOLE),30.0,Nos,Saark Exploration Pvt Ltd,250.0,50.0,125
19.0,CT COIL,,30-03 HOLE,,,,,,,,,,30amp CT With Wire (3 HOLE ) ,30.0,Nos,Saark Exploration Pvt Ltd,300.0,47.0,159
20.0,CT COIL,,60-03 HOLE,,,,,,,,,,60amp CT With Wire (3 HOLE ) ,60.0,Nos,Saark Exploration Pvt Ltd,1500.0,47.0,795
21.0,CT COIL,,30-02 HOLE,,,,,,,,,,100amp CT With Wire (2 HOLE ) ,10.0,Nos,Saark Exploration Pvt Ltd,2000.0,47.0,1060
22.0,CT COIL,,600/5 HOLE,,,,,,,,,,600/5 amp CT With Wire ,600.0,Nos,Saark Exploration Pvt Ltd,4000.0,47.0,2120
23.0,MCB,,1P,,,,,,,,,,MCB 1P 1A,1.0,Nos,Satyam,902.0,70.0,270.6
24.0,MCB,,1P,,,,,,,,,,MCB 1P 2A,2.0,Nos,Satyam,902.0,70.0,270.6
25.0,MCB,,1P,,,,,,,,,,MCB 1P 3A,3.0,Nos,Satyam,902.0,70.0,270.6
26.0,MCB,,1P,,,,,,,,,,MCB 1P 4A,4.0,Nos,Satyam,902.0,70.0,270.6
27.0,MCB,,1P,,,,,,,,,,MCB 1P 6A,6.0,Nos,Satyam,535.0,70.0,160.5
28.0,MCB,,1P,,,,,,,,,,MCB 1P 10A,10.0,Nos,Satyam,535.0,70.0,160.5
29.0,MCB,,1P,,,,,,,,,,MCB 1P 16A,16.0,Nos,Satyam,535.0,70.0,160.5
30.0,MCB,,1P,,,,,,,,,,MCB 1P 20A,20.0,Nos,Satyam,535.0,70.0,160.5
31.0,MCB,,1P,,,,,,,,,,MCB 1P 25A,,Nos,Satyam,535.0,70.0,160.5
32.0,MCB,,1P,,,,,,,,,,MCB 1P 32A,,Nos,Satyam,535.0,70.0,160.5
33.0,MCB,,1P,,,,,,,,,,MCB 1P 40A,,Nos,Satyam,1277.0,70.0,383.1
34.0,MCB,,1P,,,,,,,,,,MCB 1P 50A,,Nos,Satyam,1277.0,70.0,383.1
35.0,MCB,,1P,,,,,,,,,,MCB 1P 63A,,Nos,Satyam,1295.0,70.0,388.5
36.0,MCB,,2P,,,,,,,,,,MCB 2P 1A,,Nos,Satyam,2570.0,70.0,771
37.0,MCB,,2P,,,,,,,,,,MCB 2P 2A,,Nos,Satyam,2570.0,70.0,771
38.0,MCB,,2P,,,,,,,,,,MCB 2P 3A,,Nos,Satyam,2570.0,70.0,771
39.0,MCB,,2P,,,,,,,,,,MCB 2P 4A,,Nos,Satyam,2570.0,70.0,771
40.0,MCB,,2P,,,,,,,,,,MCB 2P 6A,,Nos,Satyam,1857.0,70.0,557.1
41.0,MCB,,2P,,,,,,,,,,MCB 2P 10A,,Nos,Satyam,1857.0,70.0,557.1
42.0,MCB,,2P,,,,,,,,,,MCB 2P 16A,,Nos,Satyam,1857.0,70.0,557.1
43.0,MCB,,2P,,,,,,,,,,MCB 2P 20A,,Nos,Satyam,1857.0,70.0,557.1
44.0,MCB,,2P,,,,,,,,,,MCB 2P 25A,,Nos,Satyam,1857.0,70.0,557.1
45.0,MCB,,2P,,,,,,,,,,MCB 2P 32A,,Nos,Satyam,1857.0,70.0,557.1
46.0,MCB,,2P,,,,,,,,,,MCB 2P 40A,,Nos,Satyam,2989.0,70.0,896.7
47.0,MCB,,2P,,,,,,,,,,MCB 2P 50A,,Nos,Satyam,2989.0,70.0,896.7
48.0,MCB,,2P,,,,,,,,,,MCB 2P 63A,,Nos,Satyam,3014.0,70.0,904.2
49.0,MCB,,3P,,,,,,,,,,MCB 3P 1A,,Nos,Satyam,4057.0,70.0,1217.1
50.0,MCB,,3P,,,,,,,,,,MCB 3P 2A,,Nos,Satyam,4057.0,70.0,1217.1
51.0,MCB,,3P,,,,,,,,,,MCB 3P 3A,,Nos,Satyam,4057.0,70.0,1217.1
52.0,MCB,,3P,,,,,,,,,,MCB 3P 4A,,Nos,Satyam,4057.0,70.0,1217.1
53.0,MCB,,3P,,,,,,,,,,MCB 3P 6A,,Nos,Satyam,3080.0,70.0,924
54.0,MCB,,3P,,,,,,,,,,MCB 3P 10A,,Nos,Satyam,3080.0,70.0,924
55.0,MCB,,3P,,,,,,,,,,MCB 3P 16A,,Nos,Satyam,3080.0,70.0,924
56.0,MCB,,3P,,,,,,,,,,MCB 3P 20A,,Nos,Satyam,3080.0,70.0,924
57.0,MCB,,3P,,,,,,,,,,MCB 3P 25A,,Nos,Satyam,3080.0,70.0,924
58.0,MCB,,3P,,,,,,,,,,MCB 3P 32A,,Nos,Satyam,3080.0,70.0,924
59.0,MCB,,3P,,,,,,,,,,MCB 3P 40A ,,Nos,Satyam,4691.0,70.0,1407.3
60.0,MCB,,3P,,,,,,,,,,MCB 3P 50A ,,Nos,Satyam,4691.0,70.0,1407.3
61.0,MCB,,3P,,,,,,,,,,MCB 3P 63A ,,Nos,Satyam,4846.0,70.0,1453.8
62.0,MCB,,3P,,,,,,,,,,MCB 3P 100A ,,Nos,Satyam,15849.0,70.0,4754.7
63.0,MCB,,4P,,,,,,,,,,MCB 4P 1A ,,Nos,Satyam,5106.0,70.0,1531.8
64.0,MCB,,4P,,,,,,,,,,MCB 4P 2A ,,Nos,Satyam,5106.0,70.0,1531.8
65.0,MCB,,4P,,,,,,,,,,MCB 4P 4A,,Nos,Satyam,5106.0,70.0,1531.8
66.0,MCB,,4P,,,,,,,,,,MCB 4P 6A,,Nos,Satyam,4150.0,70.0,1245
67.0,MCB,,4P,,,,,,,,,,MCB 4P 10A,,Nos,Satyam,4150.0,70.0,1245
68.0,MCB,,4P,,,,,,,,,,MCB 4P 16A,,Nos,Satyam,4150.0,70.0,1245
69.0,MCB,,4P,,,,,,,,,,MCB 4P 20A ,,Nos,Satyam,4150.0,70.0,1245
70.0,MCB,,4P,,,,,,,,,,MCB 4P 25A,,Nos,Satyam,4150.0,70.0,1245
71.0,MCB,,4P,,,,,,,,,,MCB 4P 32A,,Nos,Satyam,4150.0,70.0,1245
72.0,MCB,,4P,,,,,,,,,,MCB 4P 40A,,Nos,Satyam,6029.0,70.0,1808.7
73.0,MCB,,4P,,,,,,,,,,MCB 4P 50A,,Nos,Satyam,6029.0,70.0,1808.7
74.0,MCB,,4P,,,,,,,,,,MCB 4P 63A,,Nos,Satyam,6279.0,70.0,1883.7
75.0,RELAY,,1.0,,,,,,,,,,RELAY TARA ,,Nos,Satyam,550.0,35.0,357.5
76.0,CONTACTOR,,M7,,,,,,,,,,CONTACTOR 0901 M7,9.0,Nos,Satyam,2404.0,60.0,961.6
77.0,CONTACTOR,,M7,,,,,,,,,,CONTACTOR 1201 M7,12.0,Nos,Satyam,2750.0,60.0,1100
78.0,CONTACTOR,,M7,,,,,,,,,,CONTACTOR 1801 M7,,Nos,Satyam,3170.0,60.0,1268
79.0,CONTACTOR,,M7,,,,,,,,,,CONTACTOR 2501 M7,,Nos,Satyam,4315.0,60.0,1726
80.0,CONTACTOR,,M7,,,,,,,,,,CONTACTOR 3201 M7,,Nos,Satyam,9045.0,60.0,3618
81.0,CONTACTOR,,M7,,,,,,,,,,CONTACTOR 3801 M7,,Nos,Satyam,10550.0,60.0,4220
82.0,CONTACTOR,,M7,,,,,,,,,,CONTACTOR 40 AMP M7,,Nos,Satyam,11405.0,60.0,4562
83.0,CONTACTOR,,M7,,,,,,,,,,CONTACTOR 50 AMP M7,,Nos,Satyam,17230.0,60.0,6892
84.0,CONTACTOR,,M7,,,,,,,,,,CONTACTOR 65 AMP M7,,Nos,Satyam,23345.0,60.0,9338
