prod_id,base_cost,branding_fee,sample_shipping,freight_per_unit,retail_price,landed_cost,margin_pct
20260920201949,,,,,,₹0.00,0.00%
20260920201949,,,,,,₹0.00,0.00%
20260920201949,,,,,,₹0.00,0.00%
20260920201949,,,,,,₹0.00,0.00%
20260920202437,,,,,,₹0.00,0.00%
20260920203658,,,,,,₹0.00,0.00%
20260920203658,10,876,876,876,87600,₹2638.00,96.99%
20260920203658,10,876,876,876,87600,₹2638.00,96.99%
20260920203658,,,,,,₹0.00,0.00%
20260920203658,,,,,,₹0.00,0.00%
20260920205301,,,,,,₹0.00,0.00%
20260920205346,,,,,,₹0.00,0.00%
20260920205346,,,,,,₹0.00,0.00%
20260920205854,,,,,,₹0.00,0.00%
20260920210343,,,,,,₹0.00,0.00%
