prod_id,logo_path,insert_card_path,pkg_dims,printing_specs,barcode_placement,brand_copy,seo_title,seo_meta
20260920195319,Not selected,Not selected,,,,,,
20260920195319,Not selected,Not selected,,,,,,
20260920195319,Not selected,Not selected,,,,,,
20260920195319,Not selected,Not selected,,,,,,
20260920195319,Not selected,Not selected,,,,,,
20260920201949,Not selected,Not selected,,,,,,
20260920201949,Not selected,Not selected,,,,,,
20260920201949,Not selected,Not selected,,,,,,
20260920201949,Not selected,Not selected,,,,,,
20260920202437,Not selected,Not selected,,,,,,
20260920203658,Not selected,Not selected,,,,,,
20260920203658,Not selected,Not selected,,,,,,
20260920203658,Not selected,Not selected,,,,,,
20260920203658,Not selected,Not selected,,,,,,
20260920203658,Not selected,Not selected,,,,,,
20260920205301,Not selected,Not selected,,,,,,
20260920205346,Not selected,Not selected,,,,,,
20260920205346,Not selected,Not selected,,,,,,
20260920205854,Not selected,Not selected,,,,,,
20260920210343,Not selected,Not selected,,,,,,
